Rank,r_value,z_value,MNI_x,MNI_y,MNI_z
1,0.9969,3.2275,-38.0,-28.0,58.0
2,0.9968,3.2130,-38.0,-30.0,58.0
3,0.9964,3.1604,-38.0,-30.0,60.0
4,0.9962,3.1302,-40.0,-28.0,58.0
5,0.9960,3.1039,-40.0,-30.0,58.0
6,0.9958,3.0833,-38.0,-28.0,60.0
7,0.9953,3.0238,-36.0,-30.0,60.0
8,0.9952,3.0153,-38.0,-26.0,58.0
9,0.9952,3.0135,-36.0,-30.0,58.0
10,0.9950,2.9929,-36.0,-28.0,58.0
11,0.9946,2.9603,-38.0,-32.0,58.0
12,0.9944,2.9381,-40.0,-26.0,58.0
13,0.9944,2.9346,-36.0,-32.0,60.0
14,0.9943,2.9258,-40.0,-30.0,60.0
15,0.9941,2.9132,-38.0,-32.0,60.0
16,0.9939,2.8910,-36.0,-32.0,58.0
17,0.9938,2.8895,-38.0,-26.0,60.0
18,0.9936,2.8709,-36.0,-32.0,62.0
19,0.9936,2.8705,-38.0,-28.0,56.0
20,0.9935,2.8592,-40.0,-28.0,60.0
